PrecinctID,PrecinctPop,DemocratP,GreenP,LibertarianP,OtherPartiesP,RepublicanP,UnaffiliatedP
24001001-000,630,0.196825,0.0031746,0.00793651,0.0047619,0.625397,0.161905
24001002-000,708,0.216102,0.00423729,0.00847458,0.00423729,0.601695,0.165254
24001003-000,679,0.21944,0.00147275,0.00294551,0.00441826,0.597938,0.173785
24001004-002,752,0.422872,0.0119681,0.0106383,0.00531915,0.297872,0.25133
24001004-003,1093,0.37054,0.00457457,0.010979,0.00914913,0.387923,0.216834
24001004-004,1285,0.395331,0.00544747,0.00389105,0.00700389,0.445914,0.142412
24001004-005,737,0.370421,0.00407056,0.00814111,0.0122117,0.378562,0.226594
24001004-008,1225,0.36,0.00244898,0.00897959,0.00979592,0.434286,0.18449
24001005-004,1051,0.394862,0.00475737,0.00570885,0.00856327,0.396765,0.189343
24001005-006,517,0.324952,0.00193424,0.00773694,0.00580271,0.489362,0.170213
24001006-001,1203,0.398171,0.00665004,0.0141313,0.0141313,0.398171,0.168745
24001006-003,634,0.454259,0.00473186,0.00630915,0.00788644,0.359621,0.167192
24001006-005,968,0.39876,0.00206612,0.00516529,0.0134298,0.417355,0.163223
24001006-006,1363,0.338225,0.00366838,0.00586941,0.00586941,0.488628,0.15774
24001007-001,1494,0.329317,0.00267738,0.00870147,0.00669344,0.488621,0.163989
24001007-002,1576,0.293782,0.00126904,0.00444162,0.00824873,0.540609,0.15165
24001008-000,2076,0.267341,0.00240848,0.00433526,0.00770713,0.558767,0.159441
24001009-000,787,0.191868,0.00127065,0.00381194,0.00635324,0.644219,0.152478
24001010-000,1266,0.161927,0,0.00157978,0.00394945,0.706951,0.125592
24001011-000,822,0.390511,0.00486618,0.00243309,0.00608273,0.442822,0.153285
24001012-000,2008,0.333665,0.00498008,0.0104582,0.00697211,0.463147,0.180777
24001013-000,1441,0.26787,0.000693963,0.00208189,0.00485774,0.553782,0.170715
24001014-000,499,0.466934,0.00801603,0.0160321,0.00601202,0.308617,0.194389
24001016-000,1441,0.253296,0.00693963,0.00693963,0.0111034,0.568355,0.153366
24001018-000,1370,0.20219,0,0.00364964,0.00218978,0.664964,0.127007
24001020-000,1321,0.254353,0.00378501,0.00378501,0.00832702,0.591219,0.138531
24001021-000,796,0.252513,0.00251256,0.00376884,0.00628141,0.576633,0.158291
24001022-001,1571,0.357097,0.00318269,0.0108211,0.0127307,0.422661,0.193507
24001022-002,102,0.352941,0,0.0196078,0,0.509804,0.117647
24001023-000,1791,0.396427,0.00446678,0.00614182,0.00781686,0.39866,0.186488
24001024-000,1239,0.256659,0.00322841,0.00322841,0.00807103,0.584342,0.144471
24001026-000,1788,0.354027,0.00503356,0.011745,0.00782998,0.424497,0.196868
24001029-001,1732,0.297344,0.0017321,0.00692841,0.00750577,0.532333,0.154157
24001029-002,1541,0.305646,0,0.00778715,0.00519143,0.541207,0.140169
24001029-003,1165,0.330472,0.000858369,0.00600858,0.00600858,0.513305,0.143348
24001031-000,1030,0.276699,0,0.00485437,0.00485437,0.548544,0.165049
24001034-000,1289,0.325834,0.00155159,0.00310318,0.00543057,0.505818,0.158262
24003001-001,1670,0.407784,0.00239521,0.00838323,0.00538922,0.392814,0.183234
24003001-002,1662,0.379663,0.00240674,0.00541516,0.00361011,0.39651,0.212395
24003001-003,2083,0.423908,0.00144023,0.00816131,0.00192031,0.358617,0.205953
24003001-004,1974,0.572948,0.00202634,0.00607903,0.00405268,0.228977,0.185917
24003001-005,1733,0.481823,0.00403924,0.00634737,0.00577034,0.274091,0.227928
24003001-006,2318,0.560397,0.00345125,0.00603969,0.00345125,0.21484,0.211821
24003001-007,1535,0.362215,0.00456026,0.00912052,0.00586319,0.378502,0.239739
24003001-008,2159,0.397406,0.00277906,0.00509495,0.00231589,0.377953,0.214451
24003001-009,1833,0.380251,0.00163666,0.00763775,0.00381888,0.405892,0.200764
24003001-010,1340,0.380597,0.000746269,0.00373134,0.00820896,0.415672,0.191045
24003001-011,1121,0.353256,0.00535236,0.00535236,0.000892061,0.418376,0.216771
24003001-012,2764,0.632055,0.00289436,0.00542692,0.00506512,0.154124,0.200434
24003001-013,1105,0.508597,0.00633484,0.00995475,0.00542986,0.237104,0.232579
24003001-014,1797,0.441848,0.0033389,0.00723428,0.00500835,0.350028,0.192543
24003001-015,1730,0.46763,0.0017341,0.00578035,0.00462428,0.308092,0.212139
24003001-016,1914,0.504702,0.00261233,0.00679206,0.00417973,0.26698,0.214734
24003001-017,1333,0.471868,0.00225056,0.0112528,0.0060015,0.273818,0.234809
24003001-018,2696,0.579006,0.00111276,0.00593472,0.00482196,0.215875,0.193249
24003001-019,2263,0.543526,0.00220946,0.0048608,0.00397702,0.213433,0.231993
24003001-020,2328,0.521478,0.00171821,0.00816151,0.00601375,0.242698,0.219931
24003001-021,2295,0.677996,0.00087146,0.0043573,0.00348584,0.121569,0.191721
24003001-022,5072,0.50138,0.00295741,0.00926656,0.00315457,0.211751,0.271491
24003001-023,1253,0.577015,0.00239425,0.0111732,0.00558659,0.185156,0.218675
24003001-024,1415,0.536396,0.00212014,0.0106007,0.00353357,0.216254,0.231095
24003001-025,1361,0.41881,0.00367377,0.00734754,0.00514328,0.317414,0.247612
24003001-026,3422,0.701929,0.00263004,0.00496786,0.00263004,0.100818,0.187025
24003002-001,1693,0.396338,0.00236267,0.00649734,0.00472534,0.366214,0.223863
24003002-002,1552,0.461985,0.00322165,0.00451031,0.00515464,0.329897,0.195232
24003002-003,1745,0.452149,0.00286533,0.00859599,0.0034384,0.326648,0.206304
24003002-004,2390,0.459833,0.00209205,0.00669456,0.00460251,0.328452,0.198326
24003002-005,2152,0.518123,0.0027881,0.00743494,0.00604089,0.2421,0.223513
24003002-006,1642,0.440317,0.00243605,0.00852619,0.00487211,0.341657,0.202192
24003002-007,2692,0.472511,0.00148588,0.00520059,0.00371471,0.305721,0.211367
24003002-008,2527,0.403641,0.0015829,0.0075188,0.00277008,0.363672,0.220815
24003002-009,2218,0.527051,0.00135257,0.00676285,0.00541028,0.241659,0.217764
24003002-010,2120,0.386792,0.00188679,0.00990566,0.00188679,0.373585,0.225943
24003002-011,1361,0.415871,0.00440852,0.0124908,0.00367377,0.343865,0.219691
24003002-012,1599,0.399625,0.00187617,0.00750469,0.00500313,0.354597,0.231395
24003002-013,1486,0.39031,0.00336474,0.00336474,0.00336474,0.379542,0.220054
24003002-014,3012,0.657371,0.00464807,0.00332005,0.0059761,0.150398,0.178287
24003002-015,2338,0.535928,0.0025663,0.00769889,0.00384944,0.250642,0.199316
24003002-016,1465,0.386348,0.00204778,0.00819113,0.00546075,0.374744,0.223208
24003002-017,2600,0.598462,0.00192308,0.00846154,0.00307692,0.187308,0.200769
24003002-018,1655,0.485196,0.00060423,0.0145015,0.00422961,0.254381,0.241088
24003002-019,2325,0.568172,0.00301075,0.00817204,0.00516129,0.221935,0.193548
24003002-020,2072,0.426158,0.00241313,0.00916988,0.000965251,0.346525,0.214768
24003002-021,3040,0.339474,0.00197368,0.00921053,0.00296053,0.425,0.221382
24003002-022,2528,0.384494,0.00197785,0.00751582,0.00237342,0.373813,0.229826
24003002-023,2570,0.392607,0.00155642,0.00933852,0.00272374,0.335798,0.257977
24003002-024,2042,0.425563,0.00146915,0.00587659,0.000979432,0.337414,0.228697
24003003-001,1995,0.331328,0.00150376,0.0085213,0.00300752,0.441103,0.214536
24003003-002,1430,0.344755,0.000699301,0.00699301,0.00559441,0.393706,0.248252
24003003-003,2860,0.332517,0.00174825,0.0104895,0.00524476,0.412937,0.237063
24003003-004,2812,0.340327,0.00320057,0.0110242,0.00177809,0.412162,0.231508
24003003-005,2859,0.356069,0.00104932,0.00944386,0.00419727,0.418328,0.210913
24003003-006,7031,0.446167,0.00170673,0.009387,0.00497795,0.32058,0.217181
24003003-007,2057,0.373845,0.00194458,0.00826446,0.00340301,0.388916,0.223627
24003003-008,2663,0.488171,0.00337965,0.00751033,0.00525723,0.284266,0.211416
24003003-009,1049,0.320305,0.000953289,0.0085796,0.00476644,0.459485,0.20591
24003003-010,2194,0.264357,0.000455789,0.00501367,0.00227894,0.524613,0.203282
