"NAME,C,38","CNG02,C,254","COUNTY,C,254","LEG02,C,254","VTD,C,254","MCD,C,254","STATE,C,254","VTD_1,C,254","PLACE,C,254","UNADJPOP,C,254","ADJ_POPULA,N,19,5","ADJ_WHITE,N,19,5","ADJ_BLACK,N,19,5","ADJ_AMINDI,N,19,5","ADJ_ASIAN,N,19,5","ADJ_HAWAII,N,19,5","ADJ_OTHER,N,19,5","ADJ_18__PO,N,19,5","ADJ2_RACES,N,19,5","UNADJHISP,N,19,5","ADJ_18__WH,N,19,5","ADJ_18__BL,N,19,5","ADJ_18__IN,N,19,5","ADJ_18__AS,N,19,5","ADJ_18__HW,N,19,5","ADJ_18__OT,N,19,5","HU_OCCUPIE,N,19,5","HOUSING_UN,N,19,5"
Somerset Precinct 02-001,2401,24039,2438A,2403902-001,2403990168,24,02-001,,523,527,421,101,0,3,0,0,408,2,4,329,75,0,2,0,0,220,272
Somerset Precinct 05-001,2401,24039,2438A,2403905-001,2403990444,24,05-001,,891,895,713,167,3,3,0,4,730,5,7,594,126,3,3,0,2,377,469
Somerset Precinct 03-001,2401,24039,2438A,2403903-001,2403990260,24,03-001,,1491,1496,1124,268,8,18,0,40,1170,38,97,890,213,8,12,0,20,592,780
Somerset Precinct 13-003,2401,24039,2438A,2403913-003,2403991176,24,13-003,,283,285,213,68,0,0,0,4,219,0,5,160,55,0,0,0,4,107,134
Somerset Precinct 13-002,2401,24039,2438A,2403913-002,2403991176,24,13-002,,3768,947,456,477,2,1,1,-5,843,15,35,390,444,2,1,1,-6,183,220
Somerset Precinct 13-001,2401,24039,2438A,2403913-001,2403991176,24,13-001,,194,194,158,31,0,0,0,0,151,5,1,122,26,0,0,0,0,72,87
Somerset Precinct 01-002,2401,24039,2438A,2403901-002,2403990076,24,01-002,,3078,3097,1592,1298,6,22,5,106,2374,68,220,1321,946,5,14,2,66,1179,1363
Somerset Precinct 01-003,2401,24039,2438A,2403901-003,2403990076,24,01-003,2464000,236,238,91,131,0,9,0,0,188,7,18,71,102,0,9,0,0,97,110
Somerset Precinct 15-002,2401,24039,2438A,2403915-002,2403991360,24,15-002,,1489,1501,277,1148,0,18,0,14,1279,44,39,244,974,0,13,0,10,320,380
Somerset Precinct 01-001,2401,24039,2438A,2403901-001,2403990076,24,01-001,,1255,1259,755,430,2,18,0,12,1043,42,29,643,355,2,14,0,11,557,638
Somerset Precinct 15-001,2401,24039,2438A,2403915-001,2403991360,24,15-001,,4314,4329,887,3282,20,22,1,33,3786,84,106,719,2928,17,22,1,31,1327,1493
Worcester Precinct 01-001,2401,24047,2438B,2404701-001,2404790092,24,01-001,,3093,3105,1457,1520,14,42,0,7,2327,65,54,1170,1095,11,24,0,6,1191,1424
Somerset Precinct 04-001,2401,24039,2438A,2403904-001,2403990352,24,04-001,,1109,1115,854,210,3,18,0,5,925,25,12,718,174,3,14,0,3,476,552
Worcester Precinct 01-002,2401,24047,2438B,2404701-002,2404790092,24,01-002,,2776,2782,1829,803,7,38,0,42,2079,63,76,1452,545,5,26,0,23,1111,1233
Dorchester Precinct 18-001,2401,24019,2437B,2401918-001,2401991596,24,18-001,,73,73,68,0,5,0,0,0,70,0,0,65,0,5,0,0,0,39,89
Dorchester Precinct 11-001,2401,24019,2437B,2401911-001,2401990952,24,11-001,,58,58,53,0,0,0,0,3,49,2,3,44,0,0,0,0,3,27,49
Dorchester Precinct 13-002,2401,24019,2437A,2401913-002,,24,13-002,,171,176,93,80,0,0,0,1,150,2,0,80,70,0,0,0,0,80,90
Dorchester Precinct 17-001,2401,24019,2437A,2401917-001,2401991504,24,17-001,,258,259,210,47,0,0,0,0,207,2,1,170,35,0,0,0,0,99,117
Dorchester Precinct 14-002,2401,24019,2437A,2401914-002,2401991228,24,14-002,,83,83,57,22,0,0,0,0,63,4,1,40,22,0,0,0,0,39,49
Wicomico Precinct 17-001,2401,24045,2437B,2404517-001,2404591555,24,17-001,,1629,1632,1237,347,4,2,0,15,1352,27,36,1038,283,3,2,0,10,710,1012
Dorchester Precinct 03-001,2401,24019,2437B,2401903-001,2401990220,24,03-001,,387,388,344,34,1,0,0,5,309,4,2,274,31,1,0,0,3,160,205
Cecil Precinct 05-003,2401,24015,24036,2401505-003,2401590396,24,05-003,,6009,6012,5728,126,6,49,2,12,4596,89,104,4413,85,6,41,2,7,2169,2536
Kent Precinct 01-002,2401,24029,24036,2402901-002,2402990056,24,01-002,,2140,2143,1917,97,5,8,2,87,1685,27,142,1529,79,4,7,0,52,860,1048
Cecil Precinct 02-001,2401,24015,24036,2401502-001,2401590120,24,02-001,,2854,2857,2687,60,3,12,6,67,2283,22,162,2161,48,3,10,5,48,1119,1444
Cecil Precinct 02-002,2401,24015,24036,2401502-002,2401590120,24,02-002,,2698,2701,2539,86,6,15,0,14,2079,41,58,1961,68,5,12,0,9,1025,1222
Cecil Precinct 05-002,2401,24015,2434B,2401505-002,2401590396,24,05-002,,6628,6636,6198,215,22,50,0,32,4905,119,163,4623,151,17,39,0,14,2419,2876
Cecil Precinct 09-001,2401,24015,2434B,2401509-001,2401590764,24,09-001,,4928,4930,4768,55,7,27,1,8,3667,64,67,3576,38,7,15,1,2,1635,1694
Cecil Precinct 05-004,2401,24015,2434B,2401505-004,2401590396,24,05-004,,3598,3613,3083,330,18,52,0,27,2569,103,114,2265,201,15,35,0,19,1379,1518
Cecil Precinct 05-001,2401,24015,24036,2401505-001,2401590396,24,05-001,,6538,6556,6132,205,5,62,0,52,5002,100,171,4716,150,5,53,0,27,2487,2702
Cecil Precinct 03-002,2401,24015,24036,2401503-002,2401590212,24,03-002,,9425,9452,8105,904,30,74,2,123,7043,214,373,6238,556,21,58,2,80,3406,3657
Cecil Precinct 03-003,2401,24015,24036,2401503-003,2401590212,24,03-003,,8273,8289,6780,857,17,154,2,176,6061,303,471,5144,554,12,118,2,115,3017,3197
Cecil Precinct 04-001,2401,24015,2434B,2401504-001,2401590304,24,04-001,,6125,6130,5886,85,12,33,1,29,4673,84,140,4509,68,11,26,1,20,2197,2306
Cecil Precinct 03-001,2401,24015,24036,2401503-001,2401590212,24,03-001,,9303,9324,7198,1270,42,311,14,187,6897,302,602,5518,861,33,232,11,123,3374,3551
Cecil Precinct 04-002,2401,24015,24036,2401504-002,2401590304,24,04-002,,2722,2729,1661,760,17,60,1,49,1870,181,221,1214,489,11,52,1,37,954,1059
Worcester Precinct 04-001,2401,24047,2438B,2404704-001,2404790368,24,04-001,,760,762,631,98,2,18,0,0,598,13,22,502,77,2,14,0,0,304,358
Worcester Precinct 02-001,2401,24047,2438B,2404702-001,2404790184,24,02-001,,2797,2808,1392,1314,3,20,0,28,2220,51,76,1128,1032,3,13,0,21,1016,1195
Worcester Precinct 04-002,2401,24047,2438B,2404704-002,2404790368,24,04-002,,3383,3385,2914,347,15,34,0,21,2687,54,47,2354,277,7,24,0,9,1356,1524
Worcester Precinct 01-003,2401,24047,2438B,2404701-003,2404790092,24,01-003,,817,818,716,74,4,1,0,0,673,23,16,592,66,4,1,0,0,342,403
Worcester Precinct 02-002,2401,24047,2438B,2404702-002,2404790184,24,02-002,,899,904,704,172,0,8,0,7,719,13,10,566,140,0,2,0,3,362,411
Wicomico Precinct 15-001,2401,24045,2437A,2404515-001,2404591372,24,15-001,,3285,3305,2624,566,4,26,0,24,2479,61,60,1997,421,3,23,0,12,1221,1310
Wicomico Precinct 16-002,2401,24045,2438A,2404516-002,2404591464,24,16-002,,3011,3025,1965,835,4,117,0,20,2249,84,76,1560,562,3,74,0,16,1200,1347
Wicomico Precinct 08-004,2401,24045,2438A,2404508-004,2404590732,24,08-004,,3518,3520,3134,182,7,95,0,45,2657,57,69,2394,140,4,71,0,28,1282,1325
Wicomico Precinct 08-003,2401,24045,2438A,2404508-003,2404590732,24,08-003,,1755,1755,1348,245,2,118,0,13,1417,29,55,1121,181,2,83,0,12,736,773
Wicomico Precinct 13-003,2401,24045,2438A,2404513-003,2404591188,24,13-003,,3986,3988,3184,580,5,101,0,30,3629,88,127,2978,468,3,84,0,28,1238,1306
Wicomico Precinct 13-001,2401,24045,2438B,2404513-001,2404591188,24,13-001,,6325,6340,4991,971,18,116,0,112,5682,132,339,4579,797,14,99,0,87,1828,2008
Wicomico Precinct 09-004,2401,24045,2437A,2404509-004,2404590824,24,09-004,2469925,331,333,215,79,1,9,0,13,252,16,19,168,61,1,8,0,6,140,164
Wicomico Precinct 09-002,2401,24045,2437A,2404509-002,2404590824,24,09-002,,4837,4926,640,4053,11,14,0,96,3575,112,242,497,2950,9,10,0,61,1830,2034
Wicomico Precinct 13-002,2401,24045,2437A,2404513-002,2404591188,24,13-002,,6471,6544,3306,2480,23,154,3,356,4987,222,692,2806,1676,17,121,3,261,2496,2865
Wicomico Precinct 08-002,2401,24045,2438B,2404508-002,2404590732,24,08-002,,1050,1050,924,79,0,32,2,3,942,10,15,852,58,0,25,1,2,612,670
Wicomico Precinct 05-002,2401,24045,2437A,2404505-002,2404590456,24,05-002,,6761,6862,2833,3324,16,74,13,327,4940,275,670,2283,2260,13,60,13,211,2299,2574
Wicomico Precinct 09-001,2401,24045,2438B,2404509-001,2404590824,24,09-001,,2296,2305,1389,806,3,27,2,47,1871,31,68,1177,616,3,18,2,43,682,757
Wicomico Precinct 08-001,2401,24045,2438A,2404508-001,2404590732,24,08-001,,2324,2330,1918,279,3,60,0,0,1808,70,64,1540,187,3,38,0,0,898,959
Wicomico Precinct 05-004,2401,24045,2438B,2404505-004,2404590456,24,05-004,,4924,4934,3612,897,10,139,2,97,4064,177,203,3112,667,10,108,0,74,2247,2402
Wicomico Precinct 05-003,2401,24045,2438B,2404505-003,2404590456,24,05-003,,3777,3797,2786,649,2,132,4,155,2964,69,252,2259,465,1,100,2,108,1533,1646
Wicomico Precinct 05-005,2401,24045,2438B,2404505-005,2404590456,24,05-005,,2058,2061,1813,163,3,22,0,22,1616,38,61,1456,111,3,22,0,12,799,868
Wicomico Precinct 11-002,2401,24045,2437A,2404511-002,2404591004,24,11-002,,718,723,390,277,2,24,1,12,518,17,13,265,214,2,19,1,8,235,246
Wicomico Precinct 11-001,2401,24045,2438B,2404511-001,2404591004,24,11-001,,4431,4445,3180,902,8,172,0,60,3302,123,177,2444,634,7,134,0,40,1696,1890
Wicomico Precinct 05-006,2401,24045,2438B,2404505-006,2404590456,24,05-006,,4248,4253,3375,440,13,215,7,73,3395,130,142,2794,333,8,140,5,56,1833,2038
Anne Arundel Precinct 07-025,2405,24003,24030,2400307-025,2400390560,24,07-025,2471450,2960,2964,2574,285,9,21,0,20,2240,55,75,1949,236,8,14,0,11,1113,1234
Anne Arundel Precinct 07-003,2405,24003,24030,2400307-003,2400390560,24,07-003,2471450,2343,2348,1929,320,11,21,0,19,1844,48,50,1522,265,8,17,0,15,959,1178
Anne Arundel Precinct 07-010,2405,24003,24030,2400307-010,2400390560,24,07-010,,3149,3151,2908,109,11,28,1,29,2420,65,102,2259,84,6,22,1,18,1196,1325
Anne Arundel Precinct 07-019,2405,24003,24030,2400307-019,2400390560,24,07-019,,3593,3598,3294,62,21,45,0,98,2790,78,218,2595,45,14,36,0,57,1387,1482
Anne Arundel Precinct 07-006,2405,24003,24030,2400307-006,2400390560,24,07-006,2451575,3869,3872,3636,47,14,40,0,48,2926,87,127,2770,35,10,31,0,32,1428,1546
Wicomico Precinct 05-007,2401,24045,2438B,2404505-007,2404590456,24,05-007,,1820,1821,1627,104,2,47,0,5,1427,36,30,1295,78,1,32,0,5,706,752
Wicomico Precinct 06-001,2401,24045,2438B,2404506-001,2404590548,24,06-001,,851,854,804,30,1,3,0,4,665,12,17,626,23,1,3,0,2,341,384
Wicomico Precinct 04-001,2401,24045,2438B,2404504-001,2404590364,24,04-001,,3502,3513,3192,163,7,45,0,29,2693,77,77,2472,121,7,37,0,21,1383,1558
Wicomico Precinct 14-001,2401,24045,2438B,2404514-001,2404591280,24,14-001,,2106,2111,1916,109,6,30,0,17,1598,33,51,1472,77,6,19,0,11,805,888
Worcester Precinct 04-003,2401,24047,2438B,2404704-003,2404790368,24,04-003,,2344,2349,1967,278,9,27,2,32,1873,34,79,1567,228,9,19,2,26,911,1040
