7
2
1,0,0,0,0,1,0,0,
Democratic, Working Families, Constitution, Independence, Green, Republican, American, Libertarian, 
# PrecinctID,RegisteredVoters,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,
Abbeville No. 1,2161,0.381868,0,0,0,0,0.568681,0,0,
Abbeville No. 2,1970,0.677596,0,0,0,0,0.281421,0,0,
Abbeville No. 3,1373,0.582609,0,0,0,0,0.391304,0,0,
Abbeville No. 4,868,0.431579,0,0,0,0,0.531579,0,0,
Antreville,1055,0.248276,0,0,0,0,0.72069,0,0,
Broadmouth,491,0.273333,0,0,0,0,0.66,0,0,
Calhoun Falls,1795,0.668333,0,0,0,0,0.295,0,0,
Cold Springs,801,0.296296,0,0,0,0,0.660494,0,0,
Donalds,497,0.169231,0,0,0,0,0.8,0,0,
Due West,1433,0.424658,0,0,0,0,0.542466,0,0,
Hall's Store,655,0.439153,0,0,0,0,0.544974,0,0,
Keowee,1031,0.224684,0,0,0,0,0.699367,0,0,
Lowndesville,1031,0.192982,0,0,0,0,0.778947,0,0,
Lebanon,731,0.374429,0,0,0,0,0.584475,0,0,
Aiken No. 1,1328,0.204651,0,0,0,0,0.744186,0,0,
Aiken No. 2,1375,0.826558,0,0,0,0,0.135501,0,0,
Aiken No. 3,1845,0.856874,0,0,0,0,0.103578,0,0,
Aiken No. 4,899,0.883408,0,0,0,0,0.0852018,0,0,
Aiken No. 5,1368,0.593284,0,0,0,0,0.384328,0,0,
Aiken No. 6,1382,0.246914,0,0,0,0,0.703704,0,0,
Bath,905,0.518519,0,0,0,0,0.436214,0,0,
Beech Island,1811,0.583607,0,0,0,0,0.365574,0,0,
Belvedere No. 9,2080,0.495292,0,0,0,0,0.448211,0,0,
Carolina Heights,1318,0.702771,0,0,0,0,0.244332,0,0,
China Springs,1772,0.753653,0,0,0,0,0.192067,0,0,
Clearwater,779,0.485149,0,0,0,0,0.485149,0,0,
College Acres,1880,0.283482,0,0,0,0,0.669643,0,0,
Eureka,1528,0.272289,0,0,0,0,0.689157,0,0,
Gloverville,1046,0.211073,0,0,0,0,0.740484,0,0,
Graniteville,1197,0.425352,0,0,0,0,0.501408,0,0,
Jackson,1660,0.211663,0,0,0,0,0.7473,0,0,
Langley,1417,0.241279,0,0,0,0,0.671512,0,0,
Lynwood,954,0.255725,0,0,0,0,0.671756,0,0,
Millbrook,2017,0.299492,0,0,0,0,0.659898,0,0,
Monetta,1095,0.57177,0,0,0,0,0.406699,0,0,
Montmorenci No. 22,1818,0.349206,0,0,0,0,0.60771,0,0,
New Ellenton,1546,0.515358,0,0,0,0,0.447099,0,0,
New Holland,762,0.209091,0,0,0,0,0.731818,0,0,
N. Augusta No. 25,1773,0.404255,0,0,0,0,0.545213,0,0,
N. Augusta No. 26,1285,0.463415,0,0,0,0,0.493902,0,0,
N. Augusta No. 27,1695,0.122353,0,0,0,0,0.842353,0,0,
N. Augusta No. 28,1333,0.155763,0,0,0,0,0.82866,0,0,
N. Augusta No. 29,1543,0.270769,0,0,0,0,0.689231,0,0,
Oak Grove,968,0.208723,0,0,0,0,0.738318,0,0,
Perry,803,0.417625,0,0,0,0,0.521073,0,0,
Salley,679,0.63197,0,0,0,0,0.334572,0,0,
Shaws Fork,673,0.195876,0,0,0,0,0.762887,0,0,
Shiloh,1857,0.278481,0,0,0,0,0.685654,0,0,
Six Points No. 35,1665,0.379205,0,0,0,0,0.577982,0,0,
Tabernacle,680,0.521531,0,0,0,0,0.416268,0,0,
Talatha,1667,0.408994,0,0,0,0,0.554604,0,0,
Vaucluse,1574,0.332536,0,0,0,0,0.624402,0,0,
Wagener,1935,0.520134,0,0,0,0,0.412752,0,0,
Ward,1526,0.44877,0,0,0,0,0.518443,0,0,
Warrenville,1734,0.252822,0,0,0,0,0.717833,0,0,
White Pond,798,0.525641,0,0,0,0,0.439103,0,0,
Windsor No. 43,1106,0.337748,0,0,0,0,0.586093,0,0,
Belvedere No. 44,1491,0.348684,0,0,0,0,0.611842,0,0,
Misty Lakes,1831,0.390144,0,0,0,0,0.556468,0,0,
