7
2
1,0,0,0,0,1,0,0,
Democratic, Working Families, Constitution, Independence, Green, Republican, American, Libertarian, 
# PrecinctID,RegisteredVoters,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,
45001001,2161,0.381868,0,0,0,0,0.568681,0,0,
45001002,1970,0.677596,0,0,0,0,0.281421,0,0,
45001003,1373,0.582609,0,0,0,0,0.391304,0,0,
45001004,868,0.431579,0,0,0,0,0.531579,0,0,
45001005,1055,0.248276,0,0,0,0,0.72069,0,0,
45001006,491,0.273333,0,0,0,0,0.66,0,0,
45001007,1795,0.668333,0,0,0,0,0.295,0,0,
45001008,801,0.296296,0,0,0,0,0.660494,0,0,
45001009,497,0.169231,0,0,0,0,0.8,0,0,
45001010,1433,0.424658,0,0,0,0,0.542466,0,0,
45001011,655,0.439153,0,0,0,0,0.544974,0,0,
45073007,1783,0.125,0,0,0,0,0.828125,0,0,
45001013,1031,0.192982,0,0,0,0,0.778947,0,0,
45039010,729,0.714286,0,0,0,0,0.207143,0,0,
45003007,905,0.518519,0,0,0,0,0.436214,0,0,
45003008,1811,0.583607,0,0,0,0,0.365574,0,0,
45003010,1318,0.702771,0,0,0,0,0.244332,0,0,
45003011,1772,0.753653,0,0,0,0,0.192067,0,0,
45003012,779,0.485149,0,0,0,0,0.485149,0,0,
45003013,1880,0.283482,0,0,0,0,0.669643,0,0,
45003014,1528,0.272289,0,0,0,0,0.689157,0,0,
45003015,1046,0.211073,0,0,0,0,0.740484,0,0,
45003016,1197,0.425352,0,0,0,0,0.501408,0,0,
45003017,1660,0.211663,0,0,0,0,0.7473,0,0,
45003018,1417,0.241279,0,0,0,0,0.671512,0,0,
45003019,954,0.255725,0,0,0,0,0.671756,0,0,
45003020,2017,0.299492,0,0,0,0,0.659898,0,0,
45003021,1095,0.57177,0,0,0,0,0.406699,0,0,
45003023,1546,0.515358,0,0,0,0,0.447099,0,0,
45003024,762,0.209091,0,0,0,0,0.731818,0,0,
45033017,960,0.423469,0,0,0,0,0.52551,0,0,
45003031,803,0.417625,0,0,0,0,0.521073,0,0,
45003032,679,0.63197,0,0,0,0,0.334572,0,0,
45003033,673,0.195876,0,0,0,0,0.762887,0,0,
45073019,1172,0.364217,0,0,0,0,0.594249,0,0,
45003036,680,0.521531,0,0,0,0,0.416268,0,0,
45003037,1667,0.408994,0,0,0,0,0.554604,0,0,
45003038,1574,0.332536,0,0,0,0,0.624402,0,0,
45081020,438,0.588608,0,0,0,0,0.360759,0,0,
45003041,1734,0.252822,0,0,0,0,0.717833,0,0,
45003042,798,0.525641,0,0,0,0,0.439103,0,0,
45003045,1831,0.390144,0,0,0,0,0.556468,0,0,
45003049,1396,0.21547,0,0,0,0,0.751381,0,0,
45003050,2330,0.387879,0,0,0,0,0.577273,0,0,
45063015,2286,0.170599,0,0,0,0,0.789474,0,0,
45003056,1432,0.395161,0,0,0,0,0.532258,0,0,
45003057,1281,0.348101,0,0,0,0,0.601266,0,0,
45003059,1713,0.177866,0,0,0,0,0.772727,0,0,
45003061,1945,0.606007,0,0,0,0,0.358657,0,0,
45005005,319,0.804878,0,0,0,0,0.162602,0,0,
45045326,2030,0.215168,0,0,0,0,0.753086,0,0,
45005007,218,0.463768,0,0,0,0,0.478261,0,0,
45005008,883,0.117188,0,0,0,0,0.84375,0,0,
45007009,899,0.529954,0,0,0,0,0.400922,0,0,
45007011,1831,0.281184,0,0,0,0,0.665962,0,0,
45007012,642,0.705607,0,0,0,0,0.257009,0,0,
45007013,1860,0.213115,0,0,0,0,0.739526,0,0,
45091005,1440,0.152019,0,0,0,0,0.776722,0,0,
45007016,1306,0.395939,0,0,0,0,0.555838,0,0,
45077138,1608,0.209567,0,0,0,0,0.740319,0,0,
45051112,835,0.117424,0,0,0,0,0.852273,0,0,
45007019,2710,0.239291,0,0,0,0,0.711965,0,0,
45007020,712,0.477011,0,0,0,0,0.477011,0,0,
45007021,2850,0.189024,0,0,0,0,0.77561,0,0,
45007023,964,0.0776699,0,0,0,0,0.893204,0,0,
45007024,1587,0.209459,0,0,0,0,0.739865,0,0,
45007025,2134,0.394904,0,0,0,0,0.564756,0,0,
45007027,1454,0.247191,0,0,0,0,0.72809,0,0,
45077131,1269,0.119171,0,0,0,0,0.823834,0,0,
45091080,666,0.263393,0,0,0,0,0.674107,0,0,
45007032,433,0.52381,0,0,0,0,0.404762,0,0,
45007033,2461,0.22381,0,0,0,0,0.731746,0,0,
45007034,551,0.131148,0,0,0,0,0.844262,0,0,
45007035,1405,0.274457,0,0,0,0,0.67663,0,0,
45007036,2240,0.225263,0,0,0,0,0.726316,0,0,
45007037,559,0.132075,0,0,0,0,0.836478,0,0,
45007038,2594,0.4757,0,0,0,0,0.444772,0,0,
45007039,1382,0.214106,0,0,0,0,0.748111,0,0,
45091081,998,0.263158,0,0,0,0,0.692982,0,0,
45007041,1560,0.220297,0,0,0,0,0.707921,0,0,
45007042,751,0.115789,0,0,0,0,0.815789,0,0,
45007043,930,0.330317,0,0,0,0,0.624434,0,0,
45007045,625,0.263441,0,0,0,0,0.677419,0,0,
45007046,2306,0.253106,0,0,0,0,0.71118,0,0,
45045286,2306,0.138376,0,0,0,0,0.828413,0,0,
45007049,1906,0.391813,0,0,0,0,0.561404,0,0,
45007051,773,0.0948276,0,0,0,0,0.810345,0,0,
45007053,1029,0.0985915,0,0,0,0,0.876761,0,0,
45045296,2766,0.350529,0,0,0,0,0.587302,0,0,
45007055,1911,0.145719,0,0,0,0,0.808743,0,0,
45007057,1140,0.157343,0,0,0,0,0.814685,0,0,
45007058,792,0.318627,0,0,0,0,0.627451,0,0,
45007062,2492,0.145455,0,0,0,0,0.81958,0,0,
45007063,831,0.142857,0,0,0,0,0.792627,0,0,
45007064,2333,0.125348,0,0,0,0,0.846797,0,0,
45007065,533,0.142857,0,0,0,0,0.818182,0,0,
45007066,732,0.137255,0,0,0,0,0.833333,0,0,
45007068,1763,0.13278,0,0,0,0,0.838174,0,0,
45007069,301,0.340426,0,0,0,0,0.617021,0,0,
45021031,1306,0.195,0,0,0,0,0.74,0,0,
