,,Democratic,Working Families,Constitution,Independence,Green,Republican,American,Libertarian,,,,,,,,,,,,,,,,,,,
Precinct,Registered Voters,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total Votes,Total,,,,,,,,,,,,,,,,,,
Abbeville No. 1,2161,139,6,1,5,0,207,3,3,364,,,,,,,,,,,,,,,,,,
Abbeville No. 2,1970,248,7,0,4,0,103,3,1,366,,,,,,,,,,,,,,,,,,
Abbeville No. 3,1373,134,1,0,2,1,90,2,0,230,,,,,,,,,,,,,,,,,,
Abbeville No. 4,868,82,0,0,3,0,101,3,1,190,,,,,,,,,,,,,,,,,,
Antreville,1055,72,2,0,2,1,209,2,2,290,,,,,,,,,,,,,,,,,,
Broadmouth,491,41,2,1,2,3,99,2,0,150,,,,,,,,,,,,,,,,,,
Calhoun Falls,1795,401,10,0,6,3,177,2,1,600,,,,,,,,,,,,,,,,,,
Cold Springs,801,48,1,0,2,2,107,1,1,162,,,,,,,,,,,,,,,,,,
Donalds,497,22,1,0,1,0,104,1,1,130,,,,,,,,,,,,,,,,,,
Due West,1433,155,2,2,0,1,198,4,3,365,,,,,,,,,,,,,,,,,,
Hall's Store,655,83,1,0,1,0,103,1,0,189,,,,,,,,,,,,,,,,,,
Keowee,1031,71,6,2,12,1,221,1,2,316,,,,,,,,,,,,,,,,,,
Lowndesville,1031,55,1,0,2,0,222,3,2,285,,,,,,,,,,,,,,,,,,
Lebanon,731,82,2,2,3,0,128,1,1,219,,,,,,,,,,,,,,,,,,
Aiken No. 1,1328,44,1,0,4,2,160,1,3,215,,,,,,,,,,,,,,,,,,
Aiken No. 2,1375,305,6,0,2,2,50,3,1,369,,,,,,,,,,,,,,,,,,
Aiken No. 3,1845,455,8,0,4,1,55,5,3,531,,,,,,,,,,,,,,,,,,
Aiken No. 4,899,197,2,0,4,1,19,0,0,223,,,,,,,,,,,,,,,,,,
Aiken No. 5,1368,159,1,1,2,0,103,2,0,268,,,,,,,,,,,,,,,,,,
